MATERIAL;EAN;IMAGEN_GRANDE;MARCA;CARACTERISTICA
656578;7701584003373;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/GEF/ES-CO/Imagenes/Hombres/CAMISETAS/Henley/1000x1263/Camiseta-hombre-Henley-blanco-900-Modelo-GEF.jpg?sharp=1&height=400&width=400;GEF;MANGA CORTA
660074;7701701669901;https://aatdtkgdoo.cloudimg.io/v7/http://www.puntoblanco.com.co/wcsstore/CrystalCo_CAT_AS/PBC/ES-CO/Imagenes/Hombres/Buzos_Chaquetas/Brothers/1000x1263/Buzo-Hombre-Brothers-Negro-Jaspe-Mock-Twist-7345-Frente-Punto-Blanco.jpg?sharp=1&height=400&width=400;PUNTO BLANCO;CON CAPUCHA
660074;7701701669925;https://aatdtkgdoo.cloudimg.io/v7/http://www.puntoblanco.com.co/wcsstore/CrystalCo_CAT_AS/PBC/ES-CO/Imagenes/Hombres/Buzos_Chaquetas/Brothers/1000x1263/Buzo-Hombre-Brothers-Negro-Jaspe-Mock-Twist-7345-Frente-Punto-Blanco.jpg?sharp=1&height=400&width=400;PUNTO BLANCO;CON CAPUCHA
660074;7701701670006;https://aatdtkgdoo.cloudimg.io/v7/http://www.puntoblanco.com.co/wcsstore/CrystalCo_CAT_AS/PBC/ES-CO/Imagenes/Hombres/Buzos_Chaquetas/Brothers/1000x1263/Buzo-Hombre-Brothers-Negro-Jaspe-Mock-Twist-7345-Frente-Punto-Blanco.jpg?sharp=1&height=400&width=400;PUNTO BLANCO;CON CAPUCHA
660074;7701701670020;https://aatdtkgdoo.cloudimg.io/v7/http://www.puntoblanco.com.co/wcsstore/CrystalCo_CAT_AS/PBC/ES-CO/Imagenes/Hombres/Buzos_Chaquetas/Brothers/1000x1263/Buzo-Hombre-Brothers-Negro-Jaspe-Mock-Twist-7345-Frente-Punto-Blanco.jpg?sharp=1&height=400&width=400;PUNTO BLANCO;CON CAPUCHA
701008;7701701836884;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Kids/Ninos/BERMUDAS/Wender_Kd/1000x1263/Pantalon-Ninos-Wender-Kd-Tan-8209-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;
701008;7701701836891;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Kids/Ninos/BERMUDAS/Wender_Kd/1000x1263/Pantalon-Ninos-Wender-Kd-Tan-8209-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;
701008;7701701836907;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Kids/Ninos/BERMUDAS/Wender_Kd/1000x1263/Pantalon-Ninos-Wender-Kd-Tan-8209-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;
701008;7701701836914;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Kids/Ninos/BERMUDAS/Wender_Kd/1000x1263/Pantalon-Ninos-Wender-Kd-Tan-8209-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;
701008;7701701836921;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Kids/Ninos/BERMUDAS/Wender_Kd/1000x1263/Pantalon-Ninos-Wender-Kd-Tan-8209-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;
