ean;imagen_grande;imagen_espalda;imagen_detalle;imagen_detalle2;modelo
7701584917823;;;;;
7701584918387;;;;;
7701584918585;;;;;
7701584918622;;;;;
7701701010475;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Masculino_Exterior/ACCESORIOS/Nitto/1000x1263/Accesorio-hombre-nitto-gris-oscuro-7197-frente-GEF.jpg?sharp=1&height=1000&width=1000;;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Masculino_Exterior/ACCESORIOS/Nitto/1000x1263/Accesorio-hombre-nitto-gris-oscuro-7197-detalle-GEF.jpg?sharp=1&height=1000&width=1000;;
7701701010482;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Masculino_Exterior/ACCESORIOS/Miklo/1000x1263/Bufanda-Hombre-Miklo-Gris-Oscuro-7197-7197-Frente-GEF.jpg?sharp=1&height=1000&width=1000;;;;
7701701010499;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Masculino_Exterior/ACCESORIOS/Apron/1000x1263/Accesorio-hombre-Apron-verde-militar-6230-frente-GEF.jpg?sharp=1&height=1000&width=1000;;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Masculino_Exterior/ACCESORIOS/Apron/1000x1263/Accesorio-hombre-Apron-verde-militar-6230-detalle-GEF.jpg?sharp=1&height=1000&width=1000;;
7701701032675;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Masculino_Exterior/ACCESORIOS/Felto/1000x1263/Correa-Hombre-Felto-Azul-5758-Frente-GEF.jpg?sharp=1&height=1000&width=1000;;;;
7701701032682;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Masculino_Exterior/ACCESORIOS/Felto/1000x1263/Correa-Hombre-Felto-Azul-5758-Frente-GEF.jpg?sharp=1&height=1000&width=1000;;;;
7701701032699;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Masculino_Exterior/ACCESORIOS/Felto/1000x1263/Correa-Hombre-Felto-Azul-5758-Frente-GEF.jpg?sharp=1&height=1000&width=1000;;;;
7701701032705;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Masculino_Exterior/ACCESORIOS/Felto/1000x1263/Correa-Hombre-Felto-Azul-5758-Frente-GEF.jpg?sharp=1&height=1000&width=1000;;;;
7701701060616;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Masculino_Exterior/ACCESORIOS/Felto/1000x1263/Correa-Hombre-Felto-Habano-8671-Frente-GEF.jpg?sharp=1&height=1000&width=1000;;;;
7701701060623;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Masculino_Exterior/ACCESORIOS/Felto/1000x1263/Correa-Hombre-Felto-Habano-8671-Frente-GEF.jpg?sharp=1&height=1000&width=1000;;;;
7701701060630;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Masculino_Exterior/ACCESORIOS/Felto/1000x1263/Correa-Hombre-Felto-Habano-8671-Frente-GEF.jpg?sharp=1&height=1000&width=1000;;;;
7701701060647;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Masculino_Exterior/ACCESORIOS/Felto/1000x1263/Correa-Hombre-Felto-Habano-8671-Frente-GEF.jpg?sharp=1&height=1000&width=1000;;;;
7701701073111;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Masculino_Exterior/ACCESORIOS/Fraz_Duo/1000x1263/Pulsera-Hombre-Fraz-Duo-Azul-5758-Frente-GEF.jpg?sharp=1&height=1000&width=1000;;;;
7701701110328;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Masculino_Exterior/ACCESORIOS/Adron/1000x1263/Bufandas-Hombre-Adron-Verde-6234-Frente-GEF.jpg?sharp=1&height=1000&width=1000;;;;
7701701110335;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Masculino_Exterior/ACCESORIOS/Adron/1000x1263/Bufandas-Hombre-Adron-Vino-Tinto-10896-Frente-GEF.jpg?sharp=1&height=1000&width=1000;;;;
7701701112711;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Junior_Masculino/ACCESORIOS/Majid_Billetera_Jr/1000x1263/Billetera-Juvenil-Masculino-Majid-Billetera-Jr-Verde-6539-Frente-GEF.jpg?sharp=1&height=1000&width=1000;;;;
7701701290662;;;;;
7701701291027;;;;;
