ean;imagen_grande;MARCA;TIPO_MATERIAL
7701584318354;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Masculino_Exterior/ROPA_INTERIOR/Eslalom/1000x1263/Pantaloncillo-hombre-Eslalom-azul-oscuro-5758-frente-GEF.jpg?sharp=1&height=1000&width=1000;GEF;  ALGODON  ELASTANO  POLIAMIDA
7701701348486;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Masculino_Exterior/ROPA_INTERIOR/Eslalom/1000x1263/Pantaloncillo-hombre-Eslalom-azul-rey-25008-frente-GEF.jpg?sharp=1&height=1000&width=1000;GEF;  ALGODON  ELASTANO  POLIAMIDA
7701701348493;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Masculino_Exterior/ROPA_INTERIOR/Eslalom/1000x1263/Pantaloncillo-hombre-Eslalom-azul-rey-25008-frente-GEF.jpg?sharp=1&height=1000&width=1000;GEF;  ALGODON  ELASTANO  POLIAMIDA
7701701446281;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Kids/Ninos/CAMISETAS_T_SHIRT/New_Pacific_Kids/1000x1263/Camiseta-Ninos-New-Pacific-Kids-Azul-Turquesa-5630-Frente-GEF.jpg?sharp=1&height=1000&width=1000;GEF;  ALGODON
7701701508729;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Kids/Ninos/CAMISETAS_T_SHIRT/New_Pacific_Kids/1000x1263/Camiseta-Ninos-New-Pacific-Kids-Verde-15622-Frente-GEF.jpg?sharp=1&height=1000&width=1000;GEF;  ALGODON
7701701508750;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Kids/Ninos/CAMISETAS_T_SHIRT/New_Pacific_Kids/1000x1263/Camiseta-Ninos-New-Pacific-Kids-Verde-15622-Frente-GEF.jpg?sharp=1&height=1000&width=1000;GEF;  ALGODON
7701701518476;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Masculino_Exterior/ROPA_INTERIOR/Eslalom/1000x1263/Boxer-Hombre-Eslalom-Gris-7087-Frente-GEF.jpg?sharp=1&height=1000&width=1000;GEF;  ALGODON  ELASTANO  POLIAMIDA
7701701518506;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Masculino_Exterior/ROPA_INTERIOR/Eslalom/1000x1263/Boxer-Hombre-Eslalom-Gris-7087-Frente-GEF.jpg?sharp=1&height=1000&width=1000;GEF;  ALGODON  ELASTANO  POLIAMIDA
7701701588943;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Kids/Ninos/CAMISETAS_T_SHIRT/New_Pacific_Kids/1000x1263/Camiseta-Kids-Ninos-New-Pacific-Kd-Azul-589-Frente-GEF.jpg?sharp=1&height=1000&width=1000;GEF;  ALGODON
7701701588950;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Kids/Ninos/CAMISETAS_T_SHIRT/New_Pacific_Kids/1000x1263/Camiseta-Kids-Ninos-New-Pacific-Kd-Blanco-902-Frente-GEF.jpg?sharp=1&height=1000&width=1000;GEF;  ALGODON
7701701588967;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Kids/Ninos/CAMISETAS_T_SHIRT/New_Pacific_Kids/1000x1263/Camiseta-Kids-Ninos-New-Pacific-Kd-Rojo-3617-Frente-GEF.jpg?sharp=1&height=1000&width=1000;GEF;  ALGODON
7701701588981;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Kids/Ninos/CAMISETAS_T_SHIRT/New_Pacific_Kids/1000x1263/Camiseta-Kids-Ninos-New-Pacific-Kd-Azul-589-Frente-GEF.jpg?sharp=1&height=1000&width=1000;GEF;  ALGODON
7701701589032;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Kids/Ninos/CAMISETAS_T_SHIRT/New_Pacific_Kids/1000x1263/Camiseta-Kids-Ninos-New-Pacific-Kd-Blanco-902-Frente-GEF.jpg?sharp=1&height=1000&width=1000;GEF;  ALGODON
7703081647531;https://aatdtkgdoo.cloudimg.io/v7/http://tienda.babyfresh.com.co/wcsstore/CrystalCo_CAT_AS/2020/BBF/ES-CO/Imagenes/Unisex/Camisetas/Tie_Dye_Unisex/1000x1263/Camiseta-Bebe-Unisex-Tie-Dye-Unisex-Blanco-900-Frente-Baby-Fresh.jpg?sharp=1&height=1000&width=1000;BABY FRESH;
7703081647548;https://aatdtkgdoo.cloudimg.io/v7/http://tienda.babyfresh.com.co/wcsstore/CrystalCo_CAT_AS/2020/BBF/ES-CO/Imagenes/Unisex/Camisetas/Tie_Dye_Unisex/1000x1263/Camiseta-Bebe-Unisex-Tie-Dye-Unisex-Blanco-900-Frente-Baby-Fresh.jpg?sharp=1&height=1000&width=1000;BABY FRESH;
