ean;imagen_grande;COMPOSICION_ES
7701701375703;https://aatdtkgdoo.cloudimg.io/v7/https://www.galax.co/wcsstore/CrystalCo_CAT_AS/2020/GLX/ES-CO/Imagenes/Hombres/Medias/Mundial_X_3_H/1000x1263/Medias-Hombre-Mundial-X-3-H-Surtido-9901-Frente-Glx.jpg?sharp=1&height=1000&width=1000; 64% ALGODON 16% ELASTANO 20% POLIAMIDA
7701701559301;https://aatdtkgdoo.cloudimg.io/v7/https://www.galax.co/wcsstore/CrystalCo_CAT_AS/2020/GLX/ES-CO/Imagenes/Junior_Masculino/Medias/Galax_Colegial_Jr/1000x1263/Medias-Junior-Masculino-Galax-Colegial-Jr-Blanco-900-Frente-Glx.jpg?sharp=1&height=1000&width=1000; 1% ELASTANO 99% POLIAMIDA
7701701639140;https://aatdtkgdoo.cloudimg.io/v7/https://www.galax.co/wcsstore/CrystalCo_CAT_AS/2020/GLX/ES-CO/Imagenes/Junior_Masculino/Medias/Luxor_X2_Jr/1000x1263/Medias-Junior-Masculino-Luxor-X2-Jr-Surtido-9895-Frente-Glx.jpg?sharp=1&height=1000&width=1000; 75% ACRILICO 1% ELASTANO 24% POLIAMIDA
7701701639157;https://aatdtkgdoo.cloudimg.io/v7/https://www.galax.co/wcsstore/CrystalCo_CAT_AS/2020/GLX/ES-CO/Imagenes/Junior_Masculino/Medias/Luxor_X2_Jr/1000x1263/Medias-Junior-Masculino-Luxor-X2-Jr-Surtido-9897-Frente-Glx.jpg?sharp=1&height=1000&width=1000; 75% ACRILICO 1% ELASTANO 24% POLIAMIDA
7701701639164;https://aatdtkgdoo.cloudimg.io/v7/https://www.galax.co/wcsstore/CrystalCo_CAT_AS/2020/GLX/ES-CO/Imagenes/Junior_Masculino/Medias/Luxor_X2_Jr/1000x1263/Medias-Junior-Masculino-Luxor-X2-Jr-Surtido-9899-Frente-Glx.jpg?sharp=1&height=1000&width=1000; 75% ACRILICO 1% ELASTANO 24% POLIAMIDA
7701701639201;https://aatdtkgdoo.cloudimg.io/v7/https://www.galax.co/wcsstore/CrystalCo_CAT_AS/2020/GLX/ES-CO/Imagenes/Junior_Masculino/Medias/Luxor_Jr/1000x1263/Medias-Junior-Masculino-Luxor-Jr-Negro-Intenso-799-Frente-Glx.jpg?sharp=1&height=1000&width=1000; 75% ACRILICO 1% ELASTANO 24% POLIAMIDA
7701701639218;https://aatdtkgdoo.cloudimg.io/v7/https://www.galax.co/wcsstore/CrystalCo_CAT_AS/2020/GLX/ES-CO/Imagenes/Junior_Masculino/Medias/Luxor_Jr/1000x1263/Medias-Junior-Masculino-Luxor-Jr-Blanco-900-Frente-Glx.jpg?sharp=1&height=1000&width=1000; 75% ACRILICO 1% ELASTANO 24% POLIAMIDA
7701701639225;https://aatdtkgdoo.cloudimg.io/v7/https://www.galax.co/wcsstore/CrystalCo_CAT_AS/2020/GLX/ES-CO/Imagenes/Junior_Masculino/Medias/Luxor_Jr/1000x1263/Medias-Junior-Masculino-Luxor-Jr-Azul-5295-Frente-Glx.jpg?sharp=1&height=1000&width=1000; 75% ACRILICO 1% ELASTANO 24% POLIAMIDA
7701701645530;https://aatdtkgdoo.cloudimg.io/v7/https://www.galax.co/wcsstore/CrystalCo_CAT_AS/2020/GLX/ES-CO/Imagenes/Ninos/Medias/Mundial_K/1000x1263/Medias-Nino-Mundial-K-Negro-799-Frente-Glx.jpg?sharp=1&height=1000&width=1000; 65% ALGODON 1% ELASTANO 34% POLIAMIDA
7701701645561;https://aatdtkgdoo.cloudimg.io/v7/https://www.galax.co/wcsstore/CrystalCo_CAT_AS/2020/GLX/ES-CO/Imagenes/Ninos/Medias/Mundial_K/1000x1263/Medias-Nino-Mundial-K-Negro-799-Frente-Glx.jpg?sharp=1&height=1000&width=1000; 65% ALGODON 1% ELASTANO 34% POLIAMIDA
7701701645592;https://aatdtkgdoo.cloudimg.io/v7/https://www.galax.co/wcsstore/CrystalCo_CAT_AS/2020/GLX/ES-CO/Imagenes/Junior_Masculino/Medias/Mundial_Jr/1000x1263/Medias-Junior-Masculino-Mundial-Jr-Negro-Intenso-799-Frente-Glx.jpg?sharp=1&height=1000&width=1000; 65% ALGODON 1% ELASTANO 34% POLIAMIDA
7701701645622;https://aatdtkgdoo.cloudimg.io/v7/https://www.galax.co/wcsstore/CrystalCo_CAT_AS/2020/GLX/ES-CO/Imagenes/Junior_Masculino/Medias/Mundial_Jr/1000x1263/Medias-Junior-Masculino-Mundial-Jr-Negro-Intenso-799-Frente-Glx.jpg?sharp=1&height=1000&width=1000; 65% ALGODON 1% ELASTANO 34% POLIAMIDA
